timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559583480248,4026,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-29,text,false,,852,119,16,16,http://lifecharger.org/,4026,0,3257
1559583483518,773,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-40,text,false,,852,119,14,14,http://lifecharger.org/,773,0,259
1559583484117,575,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-42,text,false,,852,119,14,14,http://lifecharger.org/,574,0,238
1559583484417,569,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-43,text,false,,852,119,14,14,http://lifecharger.org/,568,0,229
1559583483817,1467,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-41,text,false,,852,119,14,14,http://lifecharger.org/,1467,0,223
1559583484715,630,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-44,text,false,,852,119,14,14,http://lifecharger.org/,630,0,241
1559583485612,672,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-47,text,false,,852,119,16,16,http://lifecharger.org/,672,0,224
1559583485015,1275,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-45,text,false,,852,119,15,15,http://lifecharger.org/,1275,0,268
1559583485314,977,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-46,text,false,,852,119,15,15,http://lifecharger.org/,977,0,242
1559583486509,769,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-50,text,false,,852,119,16,16,http://lifecharger.org/,768,0,241
1559583485911,1371,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-48,text,false,,852,119,15,15,http://lifecharger.org/,1371,0,275
1559583486209,1080,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-49,text,false,,852,119,14,14,http://lifecharger.org/,1079,0,246
1559583487108,1139,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-52,text,false,,852,119,16,16,http://lifecharger.org/,1138,0,245
1559583486809,1439,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-51,text,false,,852,119,15,15,http://lifecharger.org/,1439,0,228
1559583473292,14963,HTTP Request,200,OK,192.168.0.108-Thread Group 1-6,text,true,,57392,119,14,14,http://lifecharger.org/,14020,0,238
1559583487407,855,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-53,text,false,,852,119,13,13,http://lifecharger.org/,855,0,255
1559583472993,15294,HTTP Request,200,OK,192.168.0.108-Thread Group 1-5,text,true,,57391,119,12,12,http://lifecharger.org/,14274,0,235
1559583487708,614,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-54,text,false,,852,119,12,12,http://lifecharger.org/,614,0,230
1559583488007,1260,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-55,text,false,,852,119,14,14,http://lifecharger.org/,1260,0,239
1559583488607,664,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-57,text,false,,852,119,13,13,http://lifecharger.org/,664,0,242
1559583488305,982,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-56,text,false,,852,119,12,12,http://lifecharger.org/,982,0,241
1559583489206,1328,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-59,text,false,,852,119,15,15,http://lifecharger.org/,1328,0,229
1559583488904,1630,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-58,text,false,,852,119,15,15,http://lifecharger.org/,1630,0,249
1559583489504,1031,HTTP Request,500,Internal Server Error,192.168.0.108-Thread Group 1-60,text,false,,852,119,15,15,http://lifecharger.org/,1030,0,238
